modelo,preco,quilometragem,ano,infomacoes
Agile,22.990,89.324 Km,2011,Chevrolet Agile 1.4 Mpfi Ltz 8v
Agile,29.900,89.184 Km,2012,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,22.900,143.000 Km,2010,Chevrolet Agile Agile Lt 1.4 8v (flex)
Agile,30.490,94.500 Km,2013,Chevrolet Agile Agile Ltz 1.4 8v (flex)
Agile,22.900,97.537 Km,2010,Chevrolet Agile Agile Ltz 1.4 8v (flex)
Agile,29.990,95.500 Km,2013,Chevrolet Agile 1.4 Ltz 8v Flexpower 5p
Agile,31.900,93.479 Km,2014,Chevrolet Agile Agile Ltz 1.4 8v (flex)
Agile,26.800,60.000 Km,2011,Chevrolet Agile Ltz 1.4 Mpfi 8v Econo.flex
Agile,25.900,90.000 Km,2010,Chevrolet Agile 1.4 Ltz 5p
Agile,23.900,169.000 Km,2010,Chevrolet Agile 1.4 Ltz 5p
Agile,25.980,83.859 Km,2011,Chevrolet Agile Agile Lt 1.4 8v (flex)
Agile,23.780,237.654 Km,2011,Chevrolet Agile Agile Lt 1.4 8v (flex)
Agile,35.400,97.193 Km,2014,Chevrolet Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p
Agile,23.900,0 Km,2011,Chevrolet Agile 1.4 Ltz 5p
Agile,28.900,166.479 Km,2013,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,29.700,95.000 Km,2012,Chevrolet Agile 1.4 Ltz 5p
Agile,24.990,120.000 Km,2011,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,24.900,100.000 Km,2012,Chevrolet Agile 1.4 Mpfi Lt 8v Flex 4p Manual
Agile,27.900,79.072 Km,2011,Chevrolet Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p
Agile,34.990,129.583 Km,2014,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,24.890,148.339 Km,2011,Chevrolet Agile 1.4 Mpfi Lt 8v Flex 4p Manual
Agile,27.790,71.500 Km,2012,Chevrolet Agile 1.4 Ltz 5p
Agile,32.990,176.700 Km,2011,Chevrolet Agile Ltz 1.4
Agile,33.900,999.999 Km,2014,Chevrolet Agile Agile Ltz 1.4 8v (flex)
Agile,26.900,92.816 Km,2011,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,27.900,68.000 Km,2011,Chevrolet Agile Agile Ltz 1.4 Mpfi 8v Econo.flex Mec.
Agile,29.400,1 Km,2013,Chevrolet Agile 1.4 Ltz Easytronic 5p
Agile,31.900,67.000 Km,2013,Chevrolet Agile 1.4 Ltz 5p
Agile,32.900,56.000 Km,2014,Chevrolet Agile Agile 1.4 Ltz 8v Flex 4p Manual
Agile,31.900,61.000 Km,2013,Chevrolet Agile 1.4 Ltz 5p
Agile,31.050,69.000 Km,2012,Chevrolet Agile 1.4 Ltz 5p
Agile,27.900,166.000 Km,2011,Chevrolet Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p
Agile,23.900,114.000 Km,2011,Chevrolet Agile 1.4 Ltz 5p
Agile,25.900,100.000 Km,2011,Chevrolet Agile Agile Hatch Lt 1.4 8v (flex) 4p
Agile,33.900,155.000 Km,2013,Chevrolet Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p
Agile,26.980,76.002 Km,2010,Chevrolet Agile Agile Ltz 1.4 8v (flex)
Agile,29.990,97.074 Km,2013,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
Agile,27.890,1 Km,2011,Chevrolet Agile 1.4 Ltz 5p
Agile,29.900,100 Km,2012,Chevrolet Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2011/2012
Agile,25.790,66.592 Km,2012,Chevrolet Agile 1.4 Lt 5p
Agile,25.790,58.790 Km,2012,Chevrolet Agile 1.4 Lt 5p
Agile,25.900,80.000 Km,2012,Chevrolet Agile 1.4 Ltz 5p
Agile,24.990,91.000 Km,2011,Chevrolet Agile 1.4 Ltz 5p
Agile,25.900,141.500 Km,2011,Chevrolet Agile 1.4 Ltz 5p
Agile,30.990,87.469 Km,2013,Chevrolet Agile 1.4 Ltz 5p
Agile,25.490,172.000 Km,2012,Chevrolet Agile Chevrolet Agile 1.4 4p Ltz Econoflex
astra,27.990,143.000 Km,2009,Chevrolet Astra 2.0 Advantage Flex Power 5p 133 Hp
astra,23.900,140.000 Km,2003,Chevrolet Astra Astra 2.0 Sfi Gsi 16v Gasolina 4p Manual
astra,27.990,105.000 Km,2009,Chevrolet Astra 2.0 Advantage Flex Power Aut. 5p 121 Hp
astra,22.990,98.000 Km,2010,Chevrolet Astra 2.0 Mpfi Advantage Sedan 8v
astra,27.900,112.000 Km,2011,Chevrolet Astra Sedan Astra Advantage 2.0 Mpfi 8v Flexpower 5p
astra,26.900,43.322 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,22.900,142.000 Km,2009,Chevrolet Astra Astra Hatch Advantage 2.0 (flex)
astra,23.900,130.000 Km,2011,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p
astra,28.990,82.000 Km,2001,Chevrolet Astra 2.0 Mpfi Sport 8v
astra,30.900,154.000 Km,2011,Chevrolet Astra 2.0 Mpfi Advant 8v
astra,19.990,244 Km,2008,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,18.899,124.000 Km,2002,Chevrolet Astra 2.0 16v 3p
astra,24.000,123.000 Km,2009,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
astra,24.990,168.337 Km,2009,Chevrolet Astra 2.0 Especial Advantage Flex Power 5p 121 Hp
astra,26.000,120.000 Km,2008,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p
astra,16.900,239.429 Km,1999,Chevrolet Astra Sedan 2.0 Gls 4p
astra,25.900,123.633 Km,2010,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,18.900,190.000 Km,2002,Chevrolet Astra Sedan 2.0 8v 4p
astra,21.900,95.000 Km,2005,Chevrolet Astra 2.0 Comfort Flex Power 5p
astra,19.300,72.000 Km,2005,Chevrolet Astra Sedan 1.8 Comfort 4p
astra,31.989,40.000 Km,2009,Chevrolet Astra Chevrolet Astra Hatch Advantage 2.0 (flex)
astra,20.900,232.240 Km,2007,Chevrolet Astra Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,23.900,1 Km,2006,Chevrolet Astra Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
astra,28.900,109.900 Km,2011,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,54.140,105.365 Km,2011,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,18.900,142.567 Km,2003,Chevrolet Astra 2.0 Mpfi Cd 8v Gasolina 4p Manual
astra,22.990,136.500 Km,2007,Chevrolet Astra Sedan Astra Sed.advantage 2.0mpfi 16v  4p
astra,23.990,251.156 Km,2005,Chevrolet Astra 2.0 Mpfi Elite Sedan 8v
astra,21.900,999.999 Km,2007,Chevrolet Astra Sedan Astra Sedan Advantage 2.0 (flex)
astra,26.900,132.000 Km,2011,Chevrolet Astra Sedan Astra Sedan Advantage
astra,19.900,152.000 Km,2006,Chevrolet Astra 2.0 Mpfi Elegance Sedan 8v Flex 4p Automático
astra,21.500,1 Km,2010,Chevrolet Astra 1.6
astra,13.900,179.000 Km,2000,Chevrolet Astra Sedan 2.0 Mpfi Gls Sedan 8v
astra,25.000,0 Km,2008,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,15.900,170.000 Km,2002,Chevrolet Astra Sedan 2.0 Automática
astra,19.900,179.000 Km,2007,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,10.980,190.000 Km,1997,Gm Vectra Gls 2.0 8v
astra,19.000,169.000 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 3p
astra,24.900,87.000 Km,2009,Chevrolet Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp
astra,15.890,100.000 Km,2001,Chevrolet Astra Sedan Chevrolet Astra Sedan 1.8 Milenium 4p
astra,21.899,193.000 Km,2007,Chevrolet Astra Astra Hatch Advantage 2.0 (flex) (aut)
astra,24.998,98.000 Km,2009,Chevrolet Astra 2.0 Mpfi Advantage 8v
astra,13.000,170.000 Km,2006,Chevrolet Astra 2.0 Ss Flex Power 5p
astra,23.900,175.280 Km,2009,Chevrolet Astra Astra Hatch Advantage 2.0 8v 4p
astra,28.990,152.946 Km,2010,Chevrolet Astra Astra Hb 4p Advantage
astra,10.900,0 Km,2001,Chevrolet Astra 1.8 Gl 3p
astra,17.500,154.000 Km,2006,Chevrolet Astra 2.0 Elite Flex Power Aut. 5p
astra,20.000,120.000 Km,2007,Chevrolet Astra Sedan Advantage
astra,24.900,87.000 Km,2009,Chevrolet Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp
astra,19.000,169.000 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 3p
astra,15.890,100.000 Km,2001,Chevrolet Astra Sedan Chevrolet Astra Sedan 1.8 Milenium 4p
astra,21.899,193.000 Km,2007,Chevrolet Astra Astra Hatch Advantage 2.0 (flex) (aut)
astra,24.998,98.000 Km,2009,Chevrolet Astra 2.0 Mpfi Advantage 8v
astra,13.000,170.000 Km,2006,Chevrolet Astra 2.0 Ss Flex Power 5p
astra,23.900,175.280 Km,2009,Chevrolet Astra Astra Hatch Advantage 2.0 8v 4p
astra,28.990,152.946 Km,2010,Chevrolet Astra Astra Hb 4p Advantage
astra,10.900,0 Km,2001,Chevrolet Astra 1.8 Gl 3p
astra,22.800,118.000 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,10.900,0 Km,2000,Chevrolet Astra Sedan 2.0 16v Gls 4p
astra,17.500,154.000 Km,2006,Chevrolet Astra 2.0 Elite Flex Power Aut. 5p
astra,20.000,120.000 Km,2007,Chevrolet Astra Sedan Advantage
astra,20.000,50.000 Km,2002,Chevrolet Astra 2.0 8v Sunny 3p
astra,17.900,233.000 Km,2007,Chevrolet Astra Astra Hatch Elegance 2.0 (flex)
astra,31.990,100.000 Km,2011,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,14.900,140.000 Km,2000,Chevrolet Astra 2.0 Gls 3p
astra,18.999,170.000 Km,2007,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p
astra,25.900,170.000 Km,2010,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,18.900,122.242 Km,2008,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p
astra,20.000,80.000 Km,2009,Chevrolet Astra Sedan 2.0 Advantage Flex Power 4p 121 Hp
astra,14.890,209.000 Km,2003,Chevrolet Astra 2.0 Mpfi Sedan 8v Gasolina 4p Manual
astra,12.300,303.000 Km,2002,Chevrolet Astra Sedan Astra Expression
astra,20.890,106.500 Km,2007,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 2p Manual
astra,15.900,1 Km,2003,Chevrolet Astra Sedan Astra Sedan 1.8 Mpfi Comfort Sedan 8v Álcool 4p Manual
astra,14.900,222.000 Km,2003,Chevrolet Astra Astra 2.0 Completo + 2 Portas
astra,15.500,271.000 Km,2003,Chevrolet Astra Sedan Astra Sedan 1.8 Mpfi  4p
astra,24.900,223.000 Km,2004,Chevrolet Astra 2.0 8v 5p
astra,28.990,113.649 Km,2011,Chevrolet Astra Sedan 2.0 Advantage Flex Power Aut. 4p
astra,13.900,200.000 Km,2000,Chevrolet Astra 1.8 Gl 3p
astra,21.900,150 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,28.990,111.111 Km,2011,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,13.000,111 Km,2003,Chevrolet Astra Sedan 1.8 Sedan 4p
astra,23.990,76.000 Km,2010,Chevrolet Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
astra,26.900,135.000 Km,2002,Chevrolet Astra 2.0 8v Sunny 3p
astra,19.900,185.600 Km,2003,Chevrolet Astra Sedan 2.0 Sfi Cd Sedan 16v
astra,25.900,195.265 Km,2011,Chevrolet Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
astra,26.890,122.000 Km,2011,Chevrolet Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Automático
astra,25.900,159 Km,2009,Chevrolet Astra Astra Hatch Advantage 2.0 8v 4p
astra,15.900,257.935 Km,2002,Chevrolet Astra Sedan Astra Sed.gl Expression 2.0 4p
astra,19.900,170.000 Km,2004,Chevrolet Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
astra,19.900,151.291 Km,2006,Chevrolet Astra 2.0 Elegance Flex Power 5p
astra,22.990,1 Km,2008,Chevrolet Astra 2.0 Advantage Flex Power 5p
astra,22.900,99.900 Km,2006,Chevrolet Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
astra,29.900,122.000 Km,2011,Chevrolet Astra Astra Hatch Advantage 2.0 4p
astra,24.900,190.000 Km,2008,Chevrolet Astra 2.0 Mpfi Advantage 8v
astra,16.900,173.000 Km,2004,Chevrolet Astra Sedan Astra Sedan 2.0 Mpfi  4p
astra,59.900,50.000 Km,2005,Chevrolet Astra 2.0 16v Gsi 5p
Celta,20.900,148.000 Km,2012,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,18.490,86.000 Km,2010,Chevrolet Celta 1.0 Mpfi Vhc Spirit 8v Flex 4p Manual
Celta,19.990,122.000 Km,2011,Chevrolet Celta Celta Spirit 1.0 Vhce 8v Flexpower 4p Mec.
Celta,18.900,163.210 Km,2014,Chevrolet Celta 1.0 Ls Flex Power 3p
Celta,22.865,72.200 Km,2012,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,11.990,158.000 Km,2003,Chevrolet Celta 1.0 5p
Celta,13.990,139 Km,2003,Chevrolet Celta 1.0 Mpfi Vhc 8v Gasolina 2p Manual
Celta,22.999,99.986 Km,2013,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,26.499,89.000 Km,2014,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,10.900,180.000 Km,2004,Chevrolet Celta 1.0 3p
Celta,20.900,128.000 Km,2010,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v
Celta,25.990,98.000 Km,2014,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,18.900,163.000 Km,2010,Chevrolet Celta Celta Hatch Spirit 1.0 Vhc 8v 4p
Celta,14.900,143.000 Km,2011,Chevrolet Celta 1.0 Life Flex Power 3p
Celta,14.990,147.000 Km,2005,Chevrolet Celta 1.4 Super 3p
Celta,14.900,75.000 Km,2009,Chevrolet Celta 1.0 Life Flex Power 5p 77 Hp
Celta,26.900,78.000 Km,2012,Chevrolet Celta 1.0 Ls Flex Power 5p
Celta,12.900,160.000 Km,2004,Chevrolet Celta 1.4 3p
Celta,11.900,140.000 Km,2007,Chevrolet Celta 1.0 Life Flex Power 3p
Celta,12.900,262.000 Km,2005,Chevrolet Celta 1.0 Spirit 5p
Celta,19.900,74.000 Km,2013,Chevrolet Celta 1.0 Ls Flex Power 3p
Celta,23.990,171.040 Km,2012,Chevrolet Celta Celta 1.0 Lt 8v Flex 4p Manual
Celta,21.900,77.000 Km,2013,Chevrolet Celta Celta Lt 1.0 (flex)
Celta,25.900,90.000 Km,2015,Chevrolet Celta Celta 1.0 Lt 8v Flex 4p Manual
Celta,14.890,123.000 Km,2008,Chevrolet Celta 1.0 Life Flex Power 3p
Celta,13.900,0 Km,2009,Chevrolet Celta 1.0 Life Flex Power 3p 77 Hp
Celta,18.900,114.900 Km,2011,Chevrolet Celta Celta Spirit 1.0 Vhce (flex) 2p
Celta,22.990,118.610 Km,2012,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,21.900,102.000 Km,2011,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v Flex 4p Manual
Celta,28.990,92.228 Km,2014,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,27.955,100.123 Km,2013,Chevrolet Celta 1.0 Mpfi Lt 8v
Celta,19.900,186.000 Km,2013,Chevrolet Celta Celta Ls 1.0 (flex) 2p
Celta,23.900,90.000 Km,2012,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,21.886,70.000 Km,2012,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,16.200,130.000 Km,2012,Chevrolet Celta 1.0 Ls Flex Power 3p
Celta,21.890,127.000 Km,2010,Chevrolet Celta 1.0 Spirit Flex Power 5p
Celta,20.799,129.000 Km,2010,Chevrolet Celta Celta Spirit 1.0 Vhc (flex) 4p
Celta,9.900,78.000 Km,2005,Chevrolet Celta Celta Spirit 1.0 Mpfi Vhc 8v 3p
Celta,15.489,128.000 Km,2009,Chevrolet Celta 1.0 Life Flex Power 3p 77 Hp
Celta,19.900,118.000 Km,2012,Chevrolet Celta 1.0 Mpfi Ls 8v Flex 4p Manual
Celta,26.000,31.000 Km,2012,Chevrolet Celta 1.0 Mpfi Lt 8v
Celta,16.590,112 Km,2012,Chevrolet Celta 1.0 Ls Flex Power 3p
Celta,27.990,100 Km,2015,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,14.900,0 Km,2010,Chevrolet Celta 1.0 Spirit Flex Power 3p
Celta,13.990,139 Km,2003,Chevrolet Celta 1.0 Mpfi 8v Gasolina 2p Manual
Celta,21.980,128 Km,2009,Chevrolet Celta 1.0 Spirit Flex Power 5p 77 Hp
Celta,24.980,126.776 Km,2012,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,23.800,120.000 Km,2012,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,18.500,144.687 Km,2010,Chevrolet Celta Celta Life/ Ls 1.0 Mpfi 8v Flexpower 3p
Celta,20.900,1 Km,2013,Chevrolet Celta Celta 1.0 Mpfi Ls 8v Flex 2p Manual
Celta,22.865,72.200 Km,2012,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,20.900,128.000 Km,2010,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v
Celta,25.990,98.000 Km,2014,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,18.900,114.900 Km,2011,Chevrolet Celta Celta Spirit 1.0 Vhce (flex) 2p
Celta,27.955,100.123 Km,2013,Chevrolet Celta 1.0 Mpfi Lt 8v
Celta,19.900,186.000 Km,2013,Chevrolet Celta Celta Ls 1.0 (flex) 2p
Celta,15.489,128.000 Km,2009,Chevrolet Celta 1.0 Life Flex Power 3p 77 Hp
Celta,19.900,118.000 Km,2012,Chevrolet Celta 1.0 Mpfi Ls 8v Flex 4p Manual
Celta,16.590,112 Km,2012,Chevrolet Celta 1.0 Ls Flex Power 3p
Celta,13.990,139 Km,2003,Chevrolet Celta 1.0 Mpfi 8v Gasolina 2p Manual
Celta,21.900,73.807 Km,2009,Chevrolet Celta 1.0 Spirit Flex Power 5p 77 Hp
Celta,15.900,189.000 Km,2011,Chevrolet Celta 1.0 Mpfi Vhce Life 8v Flex 2p Manual
Celta,29.900,79.000 Km,2015,Chevrolet Celta 1.0 Lt Flex Power 5p
Celta,16.900,170.000 Km,2010,Chevrolet Celta Celta Life/ Ls 1.0 Mpfi 8v Flexpower 3p
Celta,18.990,130.000 Km,2008,Chevrolet Celta 1.0 Mpfi Life 8v
Celta,21.900,0 Km,2013,Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual
Celta,27.990,138.000 Km,2014,Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual 2014
Celta,16.500,150.000 Km,2008,Chevrolet Celta Celta Spirit 1.0 Vhc (flex) 4p
Celta,21.900,84.300 Km,2011,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v
Celta,13.000,94.000 Km,2008,Chevrolet Celta 1.0 Super Flex Power 3p
Celta,22.900,133.500 Km,2012,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,14.000,120.000 Km,2010,Chevrolet Celta Celta Life 1.0 Vhce (flex) 2p
Celta,28.900,97.033 Km,2014,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,15.990,159.000 Km,2008,Chevrolet Celta 1.0 Super Flex Power 5p
Celta,16.900,150.000 Km,2009,Chevrolet Celta 1.0 Life Flex Power 5p 77 Hp
Celta,14.800,118.765 Km,2008,Chevrolet Celta Celta 4p Spirit
Celta,11.900,155.429 Km,2012,Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual
Celta,19.900,85.000 Km,2012,Chevrolet Celta 1.0 Mpfi Vhce 8v Flex 4p Manual
Celta,29.890,127.800 Km,2015,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,13.900,135.900 Km,2004,Chevrolet Celta Celta 1.0 Vhc 2p
Celta,24.900,49.000 Km,2013,Chevrolet Celta 1.0 Mpfi Lt 8v
Celta,23.800,111.290 Km,2010,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v Flex 4p Manual
Celta,13.900,144.000 Km,2008,Chevrolet Celta 1.0 Mpfi Life 8v Flex 2p Manual
Celta,13.899,171.613 Km,2005,Chevrolet Celta 1.0 Mpfi Vhc Spirit 8v Flex 2p Manual
Celta,15.900,43.684 Km,2013,Chevrolet Celta Ls 1.0 Vhce 8v Flexpower
Celta,17.900,61.122 Km,2012,Chevrolet Celta Ls 1.0 Vhce 8v Flexpower
Celta,11.500,170.000 Km,2002,Chevrolet Celta 1.0 3p
Celta,17.890,111.000 Km,2007,Chevrolet Celta Celta Super 1.0 Vhc (flex) 4p
Celta,18.900,88.000 Km,2010,Chevrolet Celta Celta Spirit 1.0 Vhc (flex) 4p
Celta,17.000,143.000 Km,2008,Chevrolet Celta 1.0 Mpfi Super 8v Flex 4p Manual
Celta,20.900,124.000 Km,2011,Chevrolet Celta 1.0 Mpfi Vhce Spirit 8v
Celta,16.590,186.233 Km,2007,Chevrolet Celta Chevrolet Celta Life 1.0 Vhc (flex) 4p
Celta,23.899,127.412 Km,2012,Chevrolet Celta 1.0 Mpfi Lt 8v
Celta,29.900,92.107 Km,2014,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual
Celta,28.900,155.915 Km,2014,Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual 2013/2014
Celta,15.800,0 Km,2008,Chevrolet Celta 1.0 Mpfi Life 8v Flex 4p Manual
Classic,118.500,79 Km,2011,Mercedes-benz Classe C 1.8 Cgi Turbo 4p
Classic,52.900,95.000 Km,2010,Mercedes-benz Classe C Classe C 1.8 Avantgarde Kompressor Gasolina 4p Automático
Classic,47.900,114.000 Km,2007,Chrysler Pt Cruiser 2.4 Classic 5p
